title,video_id,vimeo_link,category,final_category,final_category_slug,was_overridden,was_folded_archives
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/28/20",462737328,https://vimeo.com/462737328/534c5030b2,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
HIIT 21 ABS | MASSIVE CALORIE BLAST | with Pam | 9/27/20,461829905,https://vimeo.com/461829905/0dc817ed9c,HIIT 21,HIIT 21,hiit-21,False,False
Stretch & Recovery | with Alberto | 9/25/20,461810078,https://vimeo.com/461810078/821a81879b,Stretch & Recovery,Stretch & Recovery,stretch-recovery,False,False
Hiit 56 | Upper Body | with GiGi | 9/25/20,461809223,https://vimeo.com/461809223/3812bc2eef,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
"Hiit 56 | Lower Body Mash-Up | with Pam, GiGi, & Susie Q | 09/28/20",461634417,https://vimeo.com/461634417/bf7c257ef2,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 56 | Saturday Mash-Up | Total Body | with Susie Q | 9/26/20,461634180,https://vimeo.com/461634180/63371c7124,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Kids At Home Fit Funhouse | ABs Birthday - It's Coach Tammy's Birthday | with Coach Tammy,461385371,https://vimeo.com/461385371/8f9e505ecf,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/21/20",461384805,https://vimeo.com/461384805/d159f9ac43,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit Kickboxing | Advanced | with Trisha | 9/24/20,461384193,https://vimeo.com/461384193/ee42d6c32a,HIIT Kickboxing,HIIT Kickboxing,hiit-kickboxing,False,False
Hiit 56 | Lower Body | with Susie Q | 9/24/20,461382765,https://vimeo.com/461382765/372ee825cd,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
